,name,country,region,rating,rating_count,price,value_for_money,price_category
5970,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
5971,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
5984,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
5985,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
5987,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
5988,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
5991,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
5992,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
5993,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
5994,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
5995,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6008,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6009,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6011,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6012,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6015,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6016,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6017,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6018,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6019,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6032,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6033,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6035,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6036,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6039,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6040,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6041,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6042,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6043,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6056,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6057,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6059,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6060,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6063,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6064,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6065,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6066,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6067,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6080,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6081,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6083,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6084,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6087,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6088,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6089,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6090,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6091,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6104,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6105,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6107,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6108,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6111,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6112,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6113,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6114,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6115,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6128,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6129,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6131,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6132,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6135,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6136,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6137,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6138,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6139,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6152,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6153,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6155,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6156,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6159,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6160,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6161,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6162,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6163,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6176,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6177,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6179,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6180,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6183,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6184,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6185,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6186,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6187,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6200,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6201,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6203,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6204,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6207,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6208,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6209,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6210,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6211,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6224,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6225,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6227,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6228,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6231,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6232,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6233,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6234,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6235,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6248,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6249,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6251,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6252,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6255,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6256,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6257,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6258,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6259,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6272,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6273,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6275,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6276,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6279,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6280,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6281,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6282,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6283,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6296,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6297,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6299,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6300,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6303,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6304,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6305,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6306,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6307,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6320,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6321,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6323,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6324,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6327,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6328,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6329,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6330,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6331,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6344,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6345,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6347,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6348,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6351,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6352,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6353,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6354,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6355,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6368,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6369,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6371,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6372,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6375,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6376,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6377,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6378,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6379,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6392,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6393,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6395,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6396,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6399,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6400,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6401,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6402,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6403,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6416,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6417,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6419,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6420,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6423,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6424,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6425,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6426,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6427,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6440,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6441,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6443,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6444,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6447,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6448,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6449,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6450,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6451,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6464,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6465,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6467,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6468,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6471,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6472,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6473,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6474,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6475,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6488,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6489,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6491,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6492,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6495,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6496,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6497,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6498,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6499,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6512,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6513,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6515,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6516,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6519,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6520,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6521,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6522,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6523,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6536,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6537,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6539,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6540,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6543,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6544,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6545,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6546,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6547,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6560,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6561,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6563,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6564,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6567,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6568,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6569,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6570,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6571,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6584,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6585,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6587,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6588,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6591,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6592,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6593,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6594,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
6595,Monte Degli Angeli Collezione del Barone Barolo 2021,Italy,Barolo,4.0,2920,30,0.13,Budget
6608,Zeni Amarone della Valpolicella Classico Barriques 2019,Italy,Amarone della Valpolicella Classico,4.4,2927,60,0.07,Budget
6609,Ruffino Moscato d'Asti 2023,Italy,Moscato d'Asti,4.2,2925,15,0.28,Budget
6611,Ruffino Moscato d'Asti,Italy,Moscato d'Asti,4.2,2925,17,0.24,Budget
6612,Ruffino Moscato d'Asti 2024,Italy,Moscato d'Asti,4.2,2925,18,0.23,Budget
6615,Sella & Mosca Alghero Torbato Spumante Brut 2021,Italy,Alghero,3.7,2923,40,0.09,Budget
6616,Tavernello Rubicone Sangiovese 2024,Italy,Rubicone,3.3,2922,10,0.34,Budget
6617,Ruggeri Quartese Valdobbiadene Prosecco Superiore Brut,Italy,Conegliano-Valdobbiadene Prosecco Superiore,4.0,2922,22,0.18,Budget
6618,Fantinel Tenuta Sant'Helena Pinot Grigio 2023,Italy,Collio,3.6,2920,27,0.13,Budget
