,name,country,region,rating,rating_count,price,value_for_money,price_category
401,Freixenet Italian Sparkling Rosé,Italy,Vino d'Italia,3.8,8582,17,0.22,Budget
403,G.D. Vajra Barolo Bricco Delle Viole 2022,Italy,Barolo,4.3,8537,100,0.04,Mid Range
406,Zonin Prosecco,Italy,Prosecco,3.6,8522,15,0.24,Budget
412,Cecchi Chianti Classico 2023,Italy,Chianti Classico,3.4,8493,18,0.19,Budget
421,Bottega Petalo Moscato Il Vino Dell'Amore,Italy,Veneto,3.9,8352,21,0.19,Budget
431,Arceno Chianti Classico 2023,Italy,Chianti Classico,3.9,8256,28,0.14,Budget
435,Villa Sandi Prosecco Il Fresco Spumante,Italy,Prosecco,3.7,8242,21,0.18,Budget
445,Volpaia Castello di Volpaia Chianti Classico Riserva 2022,Italy,Chianti Classico,4.1,8078,30,0.14,Budget
451,Freixenet Pinot Grigio,Italy,Garda,4.0,8011,15,0.26,Budget
460,Bussola Amarone della Valpolicella Classico 2020,Italy,Amarone della Valpolicella Classico,4.5,7956,113,0.04,Premium
461,Casisano Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.1,7950,60,0.07,Budget
479,Jermann Where Dreams have no end (W... Dreams...) 2023,Italy,Venezia Giulia,4.3,7813,70,0.06,Mid Range
482,Cantele Riserva Salice Salentino 2022,Italy,Salice Salentino,3.8,7768,18,0.21,Budget
496,Fontodi Vigna del Sorbo Gran Selezione Chianti Classico 2022,Italy,Chianti Classico,4.2,7655,151,0.03,Premium
497,Giacomo Conterno Barolo Cascina Francia 2021,Italy,Barolo,4.5,7639,394,0.01,Premium
501,Tenuta La Fuga Brunello di Montalcino 2020,Italy,Brunello di Montalcino,4.2,7588,58,0.07,Budget
502,Castellani Chianti 2024,Italy,Chianti,3.4,7584,18,0.19,Budget
504,Marchesi di Barolo Maraia Barbera del Monferrato 2022,Italy,Barbera del Monferrato,3.7,7565,20,0.18,Budget
511,Caparzo Rosso di Montalcino 2024,Italy,Rosso di Montalcino,3.7,7500,26,0.14,Budget
515,Sandrone Nebbiolo d’Alba Valmaggiore 2023,Italy,Nebbiolo d'Alba,4.0,7491,66,0.06,Mid Range
518,Fattoria le Pupille Poggio Valente 2023,Italy,Toscana,4.0,7451,62,0.06,Budget
520,Gaja Gaia & Rey Langhe 2023,Italy,Langhe,4.5,7353,350,0.01,Premium
535,Avignonesi Rosso di Montepulciano 2024,Italy,Rosso di Montepulciano,3.7,7230,23,0.16,Budget
537,Gaja Ca'Marcanda Bolgheri 2022,Italy,Bolgheri,4.3,7209,249,0.02,Premium
541,Castello di Querceto Chianti Classico Riserva 1995,Italy,Chianti Classico,3.8,7174,94,0.04,Mid Range
546,Tenuta CastelGiocondo Brunello di Montalcino 2013,Italy,Brunello di Montalcino,4.3,7149,100,0.04,Mid Range
549,Fontella Chianti 2024,Italy,Chianti,3.4,7131,14,0.25,Budget
551,Bottega Prosecco Il Vino Dei Poeti,Italy,Prosecco,3.7,7074,30,0.12,Budget
572,Renieri Rosso di Montalcino 2024,Italy,Rosso di Montalcino,3.8,6874,23,0.17,Budget
581,Gancia Prosecco,Italy,Prosecco,3.6,6803,11,0.33,Budget
582,Manincor Réserve del Conte 2023,Italy,Südtirol - Alto Adige,4.0,6774,36,0.11,Budget
588,Montepeloso A Quo Toscana 2024,Italy,Toscana,4.0,6734,35,0.12,Budget
591,Bartolo Mascarello Barolo 2021,Italy,Barolo,4.4,6713,400,0.01,Premium
606,Sandrone Barolo Le Vigne 2021,Italy,Barolo,4.3,6586,135,0.03,Premium
