name,country,region,rating,rating_count,price
Ca' del Bosco Franciacorta Cuvée Prestige,"('Italy',)","('Franciacorta',)",4.1,27547,43.99
Lanson Le Black Label Brut Champagne,"('France',)","('Champagne',)",3.9,27407,47.91
Martini Asti,"('Italy',)","('Asti',)",3.8,27249,14.97
Ruinart Brut Rosé Champagne,"('France',)","('Champagne',)",4.4,26905,84.97
Columbia Crest Grand Estates Cabernet Sauvignon 2023,"('United States',)","('Washington',)",3.7,26808,11.54
Monte Antico Rosso 2022,"('Italy',)","('Toscana',)",3.7,25632,24.99
Kendall-Jackson Vintner's Reserve Cabernet Sauvignon 2023,"('United States',)","('Sonoma County',)",3.8,25404,22.99
Lan Gran Reserva Rioja 2018,"('Spain',)","('Rioja',)",4.0,25316,29.99
Familia Torres Salmos 2022,"('Spain',)","('Priorat',)",4.1,24982,51.25
Josh Cellars Legacy Red Blend 2024,"('United States',)","('California',)",3.8,24306,15.74
Clos du Marquis Saint-Julien 2022,"('France',)","('Saint-Julien',)",4.2,24181,89.94
Codorníu Cava Clasico Brut,"('Spain',)","('Cava',)",3.6,24118,10.3
Château Mont-Redon Châteauneuf-du-Pape 2023,"('France',)","('Châteauneuf-du-Pape',)",4.2,23634,49.99
Moët & Chandon Nectar Impérial (Demi-Sec) Champagne,"('France',)","('Champagne',)",4.2,22723,59.97
Chateau Montelena Chardonnay 2023,"('United States',)","('Napa Valley',)",4.3,22692,59.83
Jeff Carrel Les Darons Rouge 2024,"('France',)","('Languedoc',)",3.8,22593,18.44
Ghost Pines Cabernet Sauvignon 2022,"('United States',)","('North Coast',)",3.8,22548,19.95
Punica Barrua 2022,"('Italy',)","('Isola dei Nuraghi',)",4.2,22368,49.83
Punica Barrua 2021,"('Italy',)","('Isola dei Nuraghi',)",4.2,22368,48.95
Drappier Carte d'Or Brut Champagne,"('France',)","('Champagne',)",4.0,22246,44.99
McManis Cabernet Sauvignon 2024,"('United States',)","('Lodi',)",3.9,22220,14.95
Séptima Malbec 2023,"('Argentina',)","('Mendoza',)",3.6,21715,10.5
Louis Jadot Pouilly-Fuissé 2024,"('France',)","('Pouilly-Fuissé',)",4.1,21663,34.31
Bogle Merlot 2024,"('United States',)","('California',)",3.6,21518,14.88
Opus One Overture,"('United States',)","('Napa Valley',)",4.5,21275,194.99
Moët & Chandon Ice Impérial (Demi-Sec) Champagne,"('France',)","('Champagne',)",4.2,20666,59.98
Freixenet Cava Cordón Negro Brut,"('Spain',)","('Cava',)",3.6,20657,9.99
Barefoot Moscato 2022,"('United States',)","('California',)",3.8,20545,21.99
Barefoot Moscato,"('United States',)","('California',)",3.8,20545,9.09
Barefoot Moscato 2023,"('United States',)","('California',)",3.8,20545,11.99
Philipponnat Royale Réserve Brut Champagne,"('France',)","('Champagne',)",4.1,20405,53.97
Olivier Leflaive Bourgogne 'Les Sétilles' 2023,"('France',)","('Bourgogne',)",4.0,20171,38.51
Piper-Heidsieck Cuvée Brut Champagne,"('France',)","('Champagne',)",4.1,19869,49.97
Shafer One Point Five Cabernet Sauvignon 2023,"('United States',)","('Stags Leap District',)",4.5,19858,125.35
W. & J. Graham's 10 Year Old Tawny Port,"('Portugal',)","('Porto',)",4.2,19775,35.95
Le Grand Noir Pinot Noir 2024,"('France',)","(""Pays d'Oc"",)",3.7,19673,15.95
Le Grand Noir Pinot Noir 2023,"('France',)","(""Pays d'Oc"",)",3.7,19673,12.99
Segura Viudas Cava Reserva Heredad Brut,"('Spain',)","('Cava',)",3.9,19666,29.95
Château La Mission Haut-Brion Pessac-Léognan (Grand Cru Classé de Graves) 2022,"('France',)","('Pessac-Léognan',)",4.5,19651,349.99
Château La Mission Haut-Brion Pessac-Léognan (Grand Cru Classé de Graves) 2023,"('France',)","('Pessac-Léognan',)",4.5,19651,374.99
Kono Sauvignon Blanc 2025,"('New Zealand',)","('Marlborough',)",3.9,19555,22.99
Moët & Chandon Grand Vintage Brut Champagne 2025,"('France',)","('Champagne',)",4.2,19478,129.99
Cantine Leonardo da Vinci Da Vinci Chianti 2024,"('Italy',)","('Chianti',)",3.5,19344,13.99
Evodia Old Vines Garnacha 2023,"('Spain',)","('Calatayud',)",3.6,19323,16.6
Andre Clouet Grande Réserve Brut Champagne Grand Cru 'Bouzy',"('France',)","(""Champagne Grand Cru 'Bouzy'"",)",3.9,19295,54.99
Duorum Tons de Duorum Tinto 2024,"('Portugal',)","('Douro',)",3.6,19232,16.86
Wines from Hahn Estate Pinot Noir 2024,"('United States',)","('Monterey County',)",3.7,18849,16.49
Mount Veeder Winery Cabernet Sauvignon 2023,"('United States',)","('Napa Valley',)",4.1,18784,78.71
Starborough Sauvignon Blanc 2024,"('New Zealand',)","('Marlborough',)",3.8,18535,10.98
Château Meyney Saint-Estèphe 2022,"('France',)","('Saint-Estèphe',)",4.0,18376,45.99
Castello di Monsanto Chianti Classico Riserva 2022,"('Italy',)","('Chianti Classico',)",4.0,18262,34.99
Caro (Catena and Rothschild) Amancaya Gran Reserva Malbec - Cabernet Sauvignon 2021,"('Argentina',)","('Mendoza',)",3.9,18216,23.99
Clos du Val Cabernet Sauvignon 2023,"('United States',)","('Napa Valley',)",4.1,18182,49.99
Francis Ford Coppola Winery Director's Cut Cabernet Sauvignon 2023,"('United States',)","('Sonoma County',)",4.0,18131,19.98
Troublemaker Red Blend,"('United States',)","('Paso Robles',)",3.8,18057,15.97
Casal Garcia Vinho Rosé,"('Portugal',)","('Vinho de Portugal',)",3.7,17922,9.44
Villa Degli Olmi Corte dei Rovi Prosecco,"('Italy',)","('Prosecco',)",4.2,17905,13.99
Bodega Numanthia Termes 2023,"('Spain',)","('Toro',)",4.0,17893,52.0
Bodega Numanthia Termes 2002,"('Spain',)","('Toro',)",4.0,17893,131.24
A to Z Wineworks Pinot Noir 2023,"('United States',)","('Oregon',)",3.7,17588,34.14
Piper-Heidsieck Brut Champagne,"('France',)","('Champagne',)",3.9,17575,43.94
La Gioiosa Prosecco Treviso,"('Italy',)","('Prosecco di Treviso',)",3.7,17564,15.76
Roscato Rosso Dolce – Sweet Red,"('Italy',)","('Provincia di Pavia',)",4.2,17332,9.97
Caymus Vineyards Cabernet Sauvignon 2012,"('United States',)","('Napa Valley',)",4.5,17227,325.49
Taittinger Brut La Francaise Champagne,"('France',)","('Champagne',)",4.2,17188,49.98
Gosset Grande Réserve Brut Champagne,"('France',)","('Champagne',)",4.2,17086,54.99
Dom Pérignon Brut Champagne 2009,"('France',)","('Champagne',)",4.6,16861,399.99
Dark Horse Big Red Blend,"('United States',)","('Sonoma County',)",3.5,16632,10.32
Napa Cellars Cabernet Sauvignon 1978,"('United States',)","('Napa Valley',)",3.9,16606,169.99
Intrinsic Cabernet Sauvignon 2021,"('United States',)","('Columbia Valley',)",3.8,16569,25.0
Intrinsic Cabernet Sauvignon 2022,"('United States',)","('Columbia Valley',)",3.8,16568,23.99
Domaine Jean-Louis Chave Côtes du Rhône Selection Mon Coeur 2024,"('France',)","('Côtes-du-Rhône',)",3.9,16448,28.83
JaM Cellars California Butter Chardonnay 2023,"('United States',)","('California',)",3.8,16337,16.97
Diseño Old Vine Malbec 2023,"('Argentina',)","('Mendoza',)",3.7,16337,15.95
Freixenet Cava Carta Nevada Brut,"('Spain',)","('Cava',)",3.6,16236,14.18
Barefoot White Zinfandel,"('United States',)","('California',)",3.6,16220,9.95
Alamos Selección Malbec 2023,"('Argentina',)","('Mendoza',)",3.7,16179,19.94
Domaine Les Temps Perdus - Clotilde Davenne Crémant de Bourgogne Brut Extra,"('France',)","('Crémant de Bourgogne',)",3.8,16149,38.39
Ayala Brut Majeur Champagne,"('France',)","('Champagne',)",3.9,16079,58.3
Henriot Souverain Brut Champagne,"('France',)","('Champagne',)",4.0,16057,39.97
Dandelion Vineyards Lionheart of the Barossa Shiraz 2023,"('Australia',)","('Barossa',)",3.9,15923,27.17
Tenuta Sette Ponti Oreno Toscana 2023,"('Italy',)","('Toscana',)",4.3,15883,84.95
Santa Margherita Prosecco Superiore di Valdobbiadene Brut,"('Italy',)","('Conegliano-Valdobbiadene Prosecco Superiore',)",3.8,15795,22.99
Donnafugata Sherazade Nero d'Avola 2024,"('Italy',)","('Terre Siciliane',)",3.8,15757,27.95
Dal Forno Romano Valpolicella Superiore Monte Lodoletta 2019,"('Italy',)","('Valpolicella',)",4.5,15631,188.7
Dark Horse Chardonnay 2024,"('United States',)","('California',)",3.5,15616,12.95
Vietti Barbera d'Asti Tre Vigne 2023,"('Italy',)","(""Barbera d'Asti"",)",3.9,15582,19.99
De Toren Private Cellar Fusion V 2022,"('South Africa',)","('Stellenbosch',)",4.4,15564,79.99
Poggio Al Tesoro Bolgheri Superiore Sondraia 2021,"('Italy',)","('Bolgheri Superiore',)",4.2,15475,115.49
Taylor's 10 Year Old Tawny Port,"('Portugal',)","('Porto',)",4.1,15181,31.48
Drappier Pinot Noir Brut Nature Champagne,"('France',)","('Champagne',)",4.1,15090,64.39
Vega Sicilia Unico Reserva Especial Edición,"('Spain',)","('Ribera del Duero',)",4.7,15086,699.95
Vega Sicilia Unico Reserva Especial Edición 2025,"('Spain',)","('Ribera del Duero',)",4.7,15086,970.04
W. & J. Graham's 20 Year Old Tawny Port,"('Portugal',)","('Porto',)",4.4,15049,62.95
Root:1 Carmenere 2023,"('Chile',)","('Colchagua Valley',)",3.6,15032,14.95
Château Pichon Baron Les Tourelles de Longueville Pauillac 2022,"('France',)","('Pauillac',)",4.1,14995,54.94
Bellavista Alma Gran Cuvée Brut,"('Italy',)","('Franciacorta',)",3.9,14959,34.99
Clos Mogador Priorat 2022,"('Spain',)","('Priorat',)",4.4,14787,132.29
Kaiken Malbec Reserva 2023,"('Argentina',)","('Mendoza',)",3.6,14765,18.8
Kaiken Malbec Reserva 2020,"('Argentina',)","('Mendoza',)",3.6,14765,16.5
Palmer & Co. Brut Réserve Champagne,"('France',)","('Champagne',)",3.9,14749,45.99
True Myth Cabernet Sauvignon 2023,"('United States',)","('Paso Robles',)",4.0,14712,17.95
Bollinger Rosé Brut Champagne,"('France',)","('Champagne',)",4.3,14680,124.95
Tikal Patriota Malbec - Bonarda 2023,"('Argentina',)","('Mendoza',)",4.0,14662,26.95
Tenuta Ulisse Limited Edition 10 Vendemmie,"('Italy',)","(""Montepulciano d'Abruzzo"",)",4.5,14627,39.99
Antinori Tignanello 2015,"('Italy',)","('Toscana',)",4.6,14519,499.99
Château de Sales Pomerol 2022,"('France',)","('Pomerol',)",4.0,14495,44.99
Kopke Colheita Port 2014,"('Portugal',)","('Porto',)",4.3,14355,49.88
Kopke Colheita Port 2015,"('Portugal',)","('Porto',)",4.3,14355,42.58
Grgich Hills Cabernet Sauvignon 2021,"('United States',)","('Napa Valley',)",4.2,14298,73.59
Grgich Hills Cabernet Sauvignon 2022,"('United States',)","('Napa Valley',)",4.2,14298,50.0
Cristom Mt. Jefferson Cuvée Pinot Noir 2024,"('United States',)","('Willamette Valley',)",4.1,14203,31.09
d'Arenberg The Footbolt Shiraz 2022,"('Australia',)","('McLaren Vale',)",3.7,14182,29.25
Dom Pérignon Brut Champagne 2010,"('France',)","('Champagne',)",4.6,14119,399.99
Francis Ford Coppola Winery Diamond Collection Zinfandel 2023,"('United States',)","('California',)",3.8,14010,19.17
Jacquart Mosaïque Brut Champagne,"('France',)","('Champagne',)",3.9,13875,45.99
Duckhorn Napa Valley Sauvignon Blanc 2024,"('United States',)","('Napa Valley',)",3.9,13795,27.95
Francis Ford Coppola Winery Director's Cut Zinfandel 2023,"('United States',)","('Dry Creek Valley',)",4.1,13764,25.95
Heidsieck & Co. Monopole Blue Top Brut Champagne,"('France',)","('Champagne',)",3.8,13763,39.95
Caballo Loco Red Blend,"('Chile',)","('Lontue Valley',)",4.4,13743,69.99
Cakebread Chardonnay 2024,"('United States',)","('Napa Valley',)",4.2,13735,54.99
Michael David Winery Sixth Sense Syrah 2022,"('United States',)","('Lodi',)",3.9,13698,16.94
Delamotte Brut Champagne Grand Cru 'Le Mesnil-sur-Oger',"('France',)","(""Champagne Grand Cru 'Le Mesnil-sur-Oger'"",)",3.9,13692,64.97
Gnarly Head Cabernet Sauvignon 2024,"('United States',)","('California',)",3.6,13675,18.33
The Federalist Zinfandel 2022,"('United States',)","('Lodi',)",3.8,13674,17.95
Boneshaker Old Vine Zinfandel 2023,"('United States',)","('Lodi',)",4.0,13668,16.79
Trefethen Cabernet Sauvignon 2022,"('United States',)","('Oak Knoll District',)",4.2,13631,109.98
Columbia Crest Grand Estates Merlot 2022,"('United States',)","('Washington',)",3.7,13560,11.54
Wente Family Vineyards Riva Ranch Chardonnay 2024,"('United States',)","('Arroyo Seco',)",4.0,13473,22.13
The Prisoner Cabernet Sauvignon 2023,"('United States',)","('Napa Valley',)",4.3,13437,39.9
Raventós i Blanc Blanc de Blancs 2000,"('Spain',)","('Penedès',)",3.9,13411,599.99
Raventós i Blanc Blanc de Blancs 1999,"('Spain',)","('Penedès',)",3.9,13411,599.99
Raventós i Blanc Blanc de Blancs 1998,"('Spain',)","('Penedès',)",3.9,13411,599.99
Domaine Serene Evenstad Reserve Pinot Noir 2022,"('United States',)","('Willamette Valley',)",4.4,13325,99.48
